code,nick,date,open,highest,lowest,close,ROI,changerange
0050,台灣50,20121026,50.70,50.75,49.87,49.91,-1.1683,-0.59
0050,台灣50,20121029,49.99,50.20,49.87,50.00,0.1803,0.09
0050,台灣50,20121030,50.30,50.65,50.20,50.45,0.9000,0.45
0050,台灣50,20121031,50.70,50.70,50.20,50.40,-0.0991,-0.05
0050,台灣50,20121101,50.10,50.55,49.60,50.35,-0.0992,-0.05
0050,台灣50,20121102,50.70,50.70,50.50,50.70,0.6951,0.35
0050,台灣50,20121105,50.55,50.70,50.30,50.50,-0.3945,-0.20
0050,台灣50,20121106,50.65,50.95,50.40,50.90,0.7921,0.40
0050,台灣50,20121107,50.90,51.20,50.65,51.15,0.4912,0.25
0050,台灣50,20121108,50.60,50.75,50.50,50.75,-0.7820,-0.40
0050,台灣50,20121109,50.35,51.30,50.25,51.10,0.6897,0.35
0050,台灣50,20121112,51.30,51.30,50.85,50.90,-0.3914,-0.20
0050,台灣50,20121113,51.00,51.00,50.00,50.05,-1.6699,-0.85
0050,台灣50,20121114,49.95,50.25,49.82,50.15,0.1998,0.10
0050,台灣50,20121115,50.00,50.25,49.50,50.00,-0.2991,-0.15
0050,台灣50,20121116,49.95,50.35,49.78,49.94,-0.1200,-0.06
0050,台灣50,20121119,50.30,50.35,50.05,50.25,0.6207,0.31
0050,台灣50,20121120,50.70,50.70,50.25,50.35,0.1990,0.10
0050,台灣50,20121121,50.45,50.50,49.70,49.97,-0.7547,-0.38
0050,台灣50,20121122,50.30,50.35,50.10,50.20,0.4603,0.23
0050,台灣50,20121123,50.55,51.80,50.50,51.70,2.9880,1.50
0050,台灣50,20121126,51.80,52.30,51.80,52.20,0.9671,0.50
0050,台灣50,20121127,52.20,52.50,52.00,52.40,0.3831,0.20
0050,台灣50,20121128,52.40,52.50,52.20,52.45,0.0954,0.05
0050,台灣50,20121129,52.65,53.10,52.65,53.10,1.2393,0.65
0050,台灣50,20121130,53.10,53.70,53.00,53.55,0.8475,0.45
0050,台灣50,20121203,53.55,53.80,53.20,53.50,-0.0934,-0.05
0050,台灣50,20121204,53.05,53.45,53.05,53.45,-0.0935,-0.05
0050,台灣50,20121205,53.30,53.80,53.10,53.75,0.5613,0.30
0050,台灣50,20121206,53.75,53.75,53.45,53.60,-0.2791,-0.15
0050,台灣50,20121207,53.65,54.05,53.65,53.90,0.5597,0.30
0050,台灣50,20121210,53.90,54.05,53.50,53.70,-0.3711,-0.20
0050,台灣50,20121211,53.65,53.80,53.30,53.65,-0.0931,-0.05
0050,台灣50,20121212,53.80,54.30,53.80,54.10,0.8388,0.45
0050,台灣50,20121213,54.30,54.80,54.25,54.70,1.1091,0.60
0050,台灣50,20121214,54.60,54.60,54.20,54.20,-0.9141,-0.50
0050,台灣50,20121217,54.20,54.20,53.40,53.50,-1.2915,-0.70
0050,台灣50,20121218,53.75,53.75,53.40,53.55,0.0935,0.05
0050,台灣50,20121219,53.95,53.95,53.60,53.70,0.2801,0.15
0050,台灣50,20121220,53.35,53.50,53.05,53.05,-1.2104,-0.65
0050,台灣50,20121221,53.05,53.20,52.40,52.80,-0.4713,-0.25
0050,台灣50,20121222,52.60,53.00,52.60,52.95,0.2841,0.15
0050,台灣50,20121224,52.90,53.05,52.65,52.70,-0.4721,-0.25
0050,台灣50,20121225,52.75,53.70,52.75,53.60,1.7078,0.90
0050,台灣50,20121226,53.60,53.75,53.40,53.50,-0.1866,-0.10
0050,台灣50,20121227,53.20,53.60,53.20,53.45,-0.0935,-0.05
0050,台灣50,20121228,53.70,53.95,53.65,53.80,0.6548,0.35
0050,台灣50,20130102,54.00,54.65,53.90,54.40,1.1152,0.60
0050,台灣50,20130103,54.90,55.05,54.65,54.85,0.8272,0.45
0050,台灣50,20130104,54.85,54.85,54.40,54.50,-0.6381,-0.35
0050,台灣50,20130107,54.55,54.55,53.90,54.25,-0.4587,-0.25
0050,台灣50,20130108,54.00,54.20,53.65,53.90,-0.6452,-0.35
0050,台灣50,20130109,53.75,54.30,53.75,54.10,0.3711,0.20
0050,台灣50,20130110,54.30,54.65,54.15,54.50,0.7394,0.40
0050,台灣50,20130111,54.70,54.80,54.35,54.45,-0.0917,-0.05
0050,台灣50,20130114,54.00,54.50,53.80,54.50,0.0918,0.05
0050,台灣50,20130115,54.20,54.45,53.90,54.00,-0.9174,-0.50
0050,台灣50,20130116,54.05,54.05,53.70,53.70,-0.5556,-0.30
0050,台灣50,20130117,53.90,54.20,53.20,53.30,-0.7449,-0.40
0050,台灣50,20130118,53.95,53.95,53.70,53.95,1.2195,0.65
0050,台灣50,20130121,53.95,54.05,53.55,53.90,-0.0927,-0.05
0050,台灣50,20130122,54.30,54.30,53.70,54.05,0.2783,0.15
0050,台灣50,20130123,54.20,54.30,53.90,54.00,-0.0925,-0.05
0050,台灣50,20130124,53.75,53.90,53.25,53.70,-0.5556,-0.30
0050,台灣50,20130125,53.65,53.70,53.20,53.50,-0.3724,-0.20
0050,台灣50,20130128,53.70,53.95,53.65,53.75,0.4673,0.25
0050,台灣50,20130129,53.95,54.50,53.95,54.50,1.3953,0.75
0050,台灣50,20130130,54.50,54.75,54.45,54.60,0.1835,0.10
0050,台灣50,20130131,54.50,54.60,54.30,54.60,0.0000,0.00
0050,台灣50,20130201,54.70,54.85,54.60,54.80,0.3663,0.20
0050,台灣50,20130204,54.85,55.40,54.85,55.20,0.7299,0.40
0050,台灣50,20130205,54.90,55.10,54.90,55.00,-0.3623,-0.20
0050,台灣50,20130206,55.20,55.50,55.20,55.40,0.7273,0.40
0050,台灣50,20130218,55.50,55.90,55.45,55.60,0.3610,0.20
0050,台灣50,20130219,55.60,55.75,55.55,55.65,0.0899,0.05
0050,台灣50,20130220,55.90,56.20,55.90,56.10,0.8086,0.45
0050,台灣50,20130221,55.90,56.05,55.70,55.70,-0.7130,-0.40
0050,台灣50,20130222,55.60,55.85,55.35,55.50,-0.3591,-0.20
0050,台灣50,20130223,55.70,55.90,55.65,55.80,0.5405,0.30
0050,台灣50,20130225,55.80,55.80,55.55,55.70,-0.1792,-0.10
0050,台灣50,20130226,55.25,55.40,55.05,55.10,-1.0772,-0.60
0050,台灣50,20130227,55.05,55.20,54.95,55.20,0.1815,0.10
0050,台灣50,20130301,55.35,55.55,55.30,55.40,0.3623,0.20
0050,台灣50,20130304,55.40,55.45,54.70,54.75,-1.1733,-0.65
0050,台灣50,20130305,54.90,55.35,54.90,55.20,0.8219,0.45
0050,台灣50,20130306,55.70,55.75,55.20,55.45,0.4529,0.25
0050,台灣50,20130307,55.20,55.65,55.20,55.40,-0.0902,-0.05
0050,台灣50,20130308,55.60,55.90,55.60,55.80,0.7220,0.40
0050,台灣50,20130311,55.80,56.10,55.60,55.90,0.1792,0.10
0050,台灣50,20130312,55.90,56.00,55.55,55.55,-0.6261,-0.35
0050,台灣50,20130313,55.60,55.95,55.30,55.65,0.1800,0.10
0050,台灣50,20130314,55.50,55.60,55.35,55.60,-0.0898,-0.05
0050,台灣50,20130315,55.60,55.70,55.20,55.20,-0.7194,-0.40
0050,台灣50,20130318,55.00,55.00,54.30,54.50,-1.2681,-0.70
0050,台灣50,20130319,54.70,54.75,54.50,54.60,0.1835,0.10
0050,台灣50,20130320,54.35,54.55,54.15,54.25,-0.6410,-0.35
0050,台灣50,20130321,54.40,54.45,54.25,54.30,0.0922,0.05
0050,台灣50,20130322,54.20,54.35,54.15,54.15,-0.2762,-0.15
0050,台灣50,20130325,54.75,54.75,54.45,54.55,0.7387,0.40
0050,台灣50,20130326,54.55,54.60,54.45,54.55,0.0000,0.00
0050,台灣50,20130327,54.60,54.85,54.45,54.70,0.2750,0.15
0050,台灣50,20130328,54.70,54.75,54.40,54.55,-0.2742,-0.15
0050,台灣50,20130329,54.85,55.15,54.70,55.10,1.0082,0.55
0050,台灣50,20130401,55.10,55.20,54.95,55.00,-0.1815,-0.10
0050,台灣50,20130402,55.00,55.10,54.70,54.85,-0.2727,-0.15
0050,台灣50,20130403,55.10,55.15,54.90,55.00,0.2735,0.15
0050,台灣50,20130408,54.45,54.50,53.85,53.85,-2.0909,-1.15
0050,台灣50,20130409,54.00,54.05,53.60,53.70,-0.2786,-0.15
0050,台灣50,20130410,53.75,53.95,53.60,53.80,0.1862,0.10
0050,台灣50,20130411,53.95,54.40,53.95,54.35,1.0223,0.55
0050,台灣50,20130412,54.40,54.50,54.20,54.35,0.0000,0.00
0050,台灣50,20130415,54.25,54.35,53.75,53.90,-0.8280,-0.45
0050,台灣50,20130416,53.50,54.00,53.45,54.00,0.1855,0.10
0050,台灣50,20130417,54.00,54.10,53.85,53.90,-0.1852,-0.10
0050,台灣50,20130418,53.55,54.10,53.55,53.85,-0.0928,-0.05
0050,台灣50,20130419,54.25,55.50,54.25,55.45,2.9712,1.60
0050,台灣50,20130422,55.55,55.65,55.30,55.40,-0.0902,-0.05
0050,台灣50,20130423,55.40,55.40,54.95,55.10,-0.5415,-0.30
0050,台灣50,20130424,55.35,55.75,55.25,55.55,0.8167,0.45
0050,台灣50,20130425,55.45,55.75,55.40,55.65,0.1800,0.10
0050,台灣50,20130426,55.80,56.20,55.80,55.85,0.3594,0.20
0050,台灣50,20130429,55.90,56.00,55.75,55.80,-0.0895,-0.05
0050,台灣50,20130430,56.25,56.55,56.25,56.40,1.0753,0.60
